times,left,right
0.0,0.0,0.0
0.07895898818969727,0.0,0.0
0.17719578742980957,0.0,0.0
0.27625393867492676,0.0,0.0
0.37524890899658203,0.0,0.0
0.4749748706817627,0.0,0.0
0.5751309394836426,0.0,0.0
0.6724529266357422,0.0,0.0
0.7713418006896973,0.0,0.0
0.885124921798706,0.0,0.0
0.9796428680419922,0.0,0.0
1.0795857906341553,0.0,0.0
1.1779248714447021,0.0,0.0
1.276641845703125,0.0,0.0
1.3764989376068115,0.0,0.0
1.4745519161224365,0.0,0.0
1.5738909244537354,0.0,0.0
1.6734178066253662,0.0,0.0
1.7717058658599854,0.0,0.0
1.8711087703704834,0.0,0.0
1.9809439182281494,0.0,0.0
2.0897178649902344,0.0,0.0
2.1795718669891357,0.0,0.0
2.278014898300171,0.0,0.0
2.377431869506836,0.0,0.0
2.475663900375366,0.0,0.0
2.575579881668091,0.0,0.0
2.6747889518737793,0.0,0.0
2.774643898010254,0.0,0.0
2.871976852416992,0.0,0.0
2.9720699787139893,0.0,0.0
3.081838846206665,0.0,0.0
3.180330991744995,0.0,0.0
3.2791459560394287,0.0,0.0
3.381706953048706,0.0,0.0
3.476824998855591,0.0,0.0
3.5771358013153076,0.0,0.0
3.6757447719573975,0.0,0.0
3.7738800048828125,0.0,0.0
3.8739938735961914,0.0,0.0
3.972209930419922,0.0,0.0
4.07250189781189,0.0,0.0
4.190951824188232,0.0,0.0
4.280135869979858,0.0,0.0
4.3806328773498535,0.0,0.0
4.478079795837402,0.0,0.0
4.582259893417358,0.0,0.0
4.675691843032837,0.0,0.0
4.774648904800415,0.0,0.0
4.874879837036133,0.0,0.0
4.973747968673706,0.0,0.0
5.073304891586304,0.0,0.0
5.170903921127319,0.0,0.0
5.280855894088745,0.0,0.0
5.381502866744995,0.0,0.0
5.479596853256226,0.0,0.0
5.581876993179321,0.0,0.0
5.677579879760742,0.0,0.0
5.776576995849609,0.0,0.0
5.8757688999176025,0.0,0.0
5.973587989807129,0.0,0.0
6.0743207931518555,0.0,0.0
6.171611785888672,0.0,0.0
6.272382974624634,0.0,0.0
6.383123874664307,0.0,0.0
6.480238914489746,0.0,0.0
6.579042911529541,0.0,0.0
6.677708864212036,0.0,0.0
6.776615858078003,0.002,0.002
6.876807928085327,0.002,0.002
6.9749228954315186,0.004,0.004
7.073798894882202,0.006,0.006
7.173646926879883,0.003999999999999998,0.003000000000000001
7.277933835983276,0.005000000000000001,0.005999999999999998
7.3710949420928955,0.006000000000000002,0.005000000000000001
7.481045961380005,0.006000000000000002,0.007000000000000003
7.579871892929077,0.006999999999999999,0.006999999999999999
7.684030771255493,0.015,0.015
7.777671813964844,0.020999999999999998,0.019999999999999997
7.88056492805481,0.015,0.016
7.97658896446228,0.023000000000000007,0.023000000000000007
8.075562000274658,0.02499999999999998,0.02499999999999998
8.175432920455933,0.019000000000000017,0.019000000000000017
8.27392578125,0.028999999999999998,0.028999999999999998
8.373357772827148,0.027999999999999997,0.031
8.470955848693848,0.021999999999999992,0.026999999999999996
8.58109188079834,0.03500000000000003,0.04199999999999998
8.67976999282837,0.034999999999999976,0.04300000000000004
8.779008865356445,0.03699999999999998,0.04299999999999998
8.87955093383789,0.02400000000000002,0.030000000000000027
8.97796893119812,0.03600000000000003,0.043999999999999984
9.076220989227295,0.035999999999999976,0.04299999999999998
9.17445993423462,0.025000000000000022,0.029000000000000026
9.273646831512451,0.033999999999999975,0.04599999999999993
9.373005867004395,0.03400000000000003,0.04700000000000004
9.471832990646362,0.02400000000000002,0.03300000000000003
9.571491956710815,0.03599999999999992,0.04999999999999993
9.681058883666992,0.039000000000000035,0.05400000000000005
9.77973985671997,0.040000000000000036,0.05400000000000005
9.881357908248901,0.027999999999999914,0.038999999999999924
9.977534770965576,0.04600000000000004,0.061000000000000054
10.07701587677002,0.05500000000000005,0.06899999999999995
10.176411867141724,0.038999999999999924,0.04899999999999993
10.27475380897522,0.061000000000000054,0.07600000000000007
10.375841856002808,0.061999999999999944,0.07499999999999996
10.472657918930054,0.04300000000000004,0.050000000000000044
10.576421976089478,0.06800000000000006,0.07299999999999995
10.670439004898071,0.07099999999999995,0.07200000000000006
10.780649900436401,0.07600000000000007,0.07600000000000007
10.88004994392395,0.050999999999999934,0.050999999999999934
10.981550931930542,0.07400000000000007,0.07499999999999996
11.077871799468994,0.07699999999999996,0.07600000000000007
11.176639795303345,0.052000000000000046,0.052000000000000046
11.275660991668701,0.07599999999999985,0.07699999999999996
11.377288818359375,0.07699999999999996,0.07600000000000007
11.473468780517578,0.051000000000000156,0.051999999999999824
11.573391914367676,0.07699999999999996,0.07700000000000018
11.671525001525879,0.07699999999999996,0.07599999999999985
11.771201848983765,0.050999999999999934,0.052000000000000046
11.882627964019775,0.07700000000000018,0.07699999999999996
11.979662895202637,0.07600000000000007,0.07500000000000018
12.078953981399536,0.07699999999999996,0.07699999999999996
12.179218769073486,0.052999999999999936,0.052999999999999936
12.276805877685547,0.07799999999999985,0.07900000000000018
12.376625776290894,0.07900000000000018,0.07899999999999974
12.475366830825806,0.053999999999999826,0.052999999999999936
12.57792592048645,0.07800000000000029,0.07900000000000018
12.672797918319702,0.07899999999999974,0.07899999999999974
12.77303695678711,0.052999999999999936,0.05300000000000038
12.87184476852417,0.07900000000000018,0.07899999999999974
12.980692863464355,0.07900000000000018,0.07900000000000018
13.081556797027588,0.07899999999999974,0.07899999999999974
13.17971682548523,0.053999999999999826,0.05400000000000027
13.278286933898926,0.08000000000000007,0.08000000000000007
13.382584810256958,0.08000000000000007,0.07999999999999963
13.4757239818573,0.05400000000000027,0.05400000000000027
13.57526683807373,0.07999999999999963,0.08000000000000007
13.673691987991333,0.08000000000000007,0.08000000000000007
13.773841857910156,0.05400000000000027,0.053999999999999826
13.872492790222168,0.07999999999999963,0.08000000000000007
13.971240997314453,0.08000000000000007,0.07899999999999974
14.081500768661499,0.08000000000000007,0.08000000000000007
14.182726860046387,0.052999999999999936,0.05400000000000027
14.278644800186157,0.08000000000000007,0.07899999999999974
14.380488872528076,0.08199999999999985,0.08300000000000018
14.476955890655518,0.05900000000000016,0.05799999999999983
14.577686786651611,0.08700000000000019,0.08800000000000008
14.675097942352295,0.09299999999999997,0.09299999999999997
14.7741539478302,0.06400000000000006,0.06400000000000006
14.877649784088135,0.09499999999999975,0.09499999999999975
14.972194910049438,0.0940000000000003,0.0940000000000003
15.073168992996216,0.06400000000000006,0.06299999999999972
15.190683841705322,0.09399999999999942,0.09499999999999975
15.279696941375732,0.0940000000000003,0.09300000000000086
15.384843826293945,0.09499999999999975,0.09499999999999975
15.477813959121704,0.06300000000000061,0.06400000000000006
15.578091859817505,0.09399999999999942,0.09399999999999942
15.67555284500122,0.09500000000000064,0.0940000000000003
15.775885820388794,0.06299999999999972,0.06400000000000006
15.875844955444336,0.09499999999999975,0.0940000000000003
15.973001956939697,0.0940000000000003,0.09499999999999975
16.072657823562622,0.06400000000000006,0.06400000000000006
16.171565771102905,0.09399999999999942,0.0940000000000003
16.281004905700684,0.09700000000000042,0.0959999999999992
