times,theta_mu,theta_var,range_mu,range_var
1398179907.054121,-2.815068570151273,6.619639275149329e-07,5.67293312093546,0.0015149244867692791
1398179907.170685,-2.8118252393068457,9.736421484717324e-07,5.6337738509316,0.0018325560399656447
1398179907.26858,-2.808367912677663,1.0329012687357794e-06,5.588777537938127,0.0017767855734154344
1398179907.380675,-2.8044885926617713,1.4478453297252183e-06,5.533585916585036,0.0015758225312011208
1398179907.477335,-2.8009950414006264,6.50102131939029e-07,5.489922202291257,0.001213580159606498
1398179907.57599,-2.7971626468646007,1.9702154707404984e-06,5.445001888746184,0.0013192958510408659
1398179907.677546,-2.793305134365055,6.036892896795559e-07,5.4069871870018655,0.0009787349340288098
1398179907.784342,-2.789453626966008,2.0381182054449836e-06,5.369162054821409,0.0008418586010474933
1398179907.896432,-2.7852689210576576,9.985988100644882e-07,5.326774583683922,0.0005045767828280538
1398179907.992216,-2.7814117349614156,1.4765928014175322e-06,5.28944565785949,0.0003523578607509742
1398179908.09985,-2.7772213902223837,1.4235757088613588e-06,5.253995184702046,0.0002448188212572632
1398179908.231964,-2.7726536848956815,2.0079121388899056e-06,5.214262929449749,0.0002856299903188955
1398179908.349669,-2.768128938395277,1.504182239904602e-06,5.181134356616585,0.0001793855145705367
1398179908.463883,-2.7642698658518254,9.698572817908623e-07,5.1558836158235595,0.0001359101801614791
1398179908.559915,-2.7611336320789817,6.207848338127922e-07,5.137050141078186,0.00010232828726265718
1398179908.659971,-2.7572772211683567,1.9353015744403524e-06,5.1151541924350115,0.00012962445359144937
1398179908.761786,-2.753077266665546,9.847708411889297e-07,5.091060243894849,5.598578521400763e-05
1398179908.85797,-2.749571590856608,1.0142411217758548e-06,5.072082604169627,4.159260183549582e-05
1398179908.953907,-2.746098133526222,9.671045828164687e-07,5.053254990081838,3.194724851276628e-05
1398179909.049664,-2.7425509099843084,9.839093170656379e-07,5.034875565724966,5.1910121989390306e-05
1398179909.146757,-2.7390972944446226,1.0209194803644628e-06,5.02024829621434,5.941608974583992e-05
1398179909.244482,-2.7355844813915473,9.890921864615963e-07,5.004268347892065,8.584028720040408e-05
1398179909.342674,-2.7317428596509097,1.3923224226289016e-06,4.9843654782629345,0.0001088646627236177
1398179909.460687,-2.7275431619866417,1.3859485366119112e-06,4.9638390054557355,0.00011215566600337425
1398179909.566794,-2.723655786264245,9.965604198994457e-07,4.945570555960355,0.00012013643001545249
